,Company Name,Company Website
0,Anam QT Spa,www.anamqtspa.com
1,FPT Distribution,www.fpt.com.vn
2,Vietcombank Securites,www.vcbs.com.vn
3,MBASE Vietnam,www.mbase.vn
4,TOYOTA TSUSHO VIETNAM,nan
5,CMC Software Solution,www.cmcsoft.com
6,NAL,www.nal.vn
7,Orbit Marketing & Solution,http://orbitms.com/
8,The Bank of Tokyo-Mitsubishi UFJ,nan
9,Freesale Vietnam,www.freesale-vienam.com
10,BBS Management Innovation,www.bbs.co.jp
11,Forval Corporation,www.forval.co.jp
12,Dat Xanh Group,www.datxanh.com.vn
13,NTT Communications,www.vn.ntt.com.vn
14,FREE'T PLANNING CORPORATION,www.fhp.co.jp
15,Nippon Express,www.nittsu.co.jp
16,Pasona Tech,http://vn.pasonatech.co.jp
17,V-SFIS GLOBAL TECHNOLOGY SOLUTIONS,www.v-sfis.com
18,Indochina Integrated Solution & Technology,nan
19,MCOR,www.mcor.co.jp
20,HANEL Software,www.hanelsoft.vn
21,Vietcombank Securites,www.vcbs.com.vn
22,Valley Campus Japan,Valleycampus.co.jp
23,ESUHAI,www.esuhai.com
24,ESUHAI,www.esuhai.com
25,Digital Hollywood,www.dhw.co.jp
26,JISA,www.jisa.or.jp
27,OA Promotion Center Corporation,www.oa-center.co.jp
28,NEC Vietnam,nan
29,TMA Solutions,nan
30,Lechimvas,www.lechimvas.com
31,Japan Online Game Association,www.japanonlinegame.org
32,V-NEXT SOFTWARE JSC,nan
33,V-NEXT SOFTWARE JSC,nan
34,Brandi Hotel,www.brandihotel.com
35,International University of Japan,www.iuj.ac.jp
36,NTT IT CORPORATION,www.ntt-it.co.jp
37,Japan Online Game Association,www.japanonlinegame.org
38,FPT Corporation/ FPT University,www.fpt.com.vn
39,KELLER WILLIAMS Silicon Valley,www.KellerWilliams.com
40,transcosmos Vietnam,ww.trans-cosmos.com.vn
41,JellyFish Human Resources,www.jellyfishhr.com
42,MEDIA GAIN,www.mediagain.co.jp
43,ASIA COMMERCIAL BANK,acb.com.vn
44,ISB VIETNAM,www.isb-vietnam.com.vn
45,LARION Computing,www.elarion.com
46,East Asian Community Institute,www.eaci.or.jp
47,MOCAP Vietnam Joint Stock,www.mocap.com.vn
48,JISA,www.jisa.or.jp
49,TAXI MY DINH,nan
50,TAN LONG REAL ESTATE,www.bdstanlong.com
51,ISB VIETNAM,www.isb-vietnam.com.vn
52,CM Engineering  Vietnam,http://cmengineering.com.vn
53,ALT PLUS VIETNAM,www.altplus.com.vn
54,Thanh Binh Home Textile,www.thanhbinhgrand.com.vn
55,Embassy of Vietnam in Japan,nan
56,Department of Facilities,nan
57,QUALCOMM CDMA Technologies,www.qualcomm.co.jp
58,Kevin Bao Lenguyen & Associates,www.kblaa.com
59,NST VIETNAM,www.cae-nst.co.jp
60,Japan Investor Solutions & Technologies,www.jis-t.co.jp
61,FPT Global Technology Innovation,www.fpt.com.vn
62,DDS,www.dds.co.jp
63,Hitachi Solutions,www.hitachi-solutions.com
64,NSG INTERNATIONAL ,www.nsg-intl.co.jp
65,SOLPAC Vietnam,www.slv.vn
66,Bao Viet Securities,www.bvsc.com.vn
67,FIS,www.fis.com.vn
68,AEON MALL,www.aeonmall.com
69,Eff Limited,www.eff.co.jp
70,QES ,www.qes.co.jp
71,AEON ,nan
72,OOTOYA HOLDINGS,www.ootoya.com
73,JETRO,ww.jetro.go.jp
74,Vinalines,www.vinalines.com.vn
75,TACT SYSTEM VIETNAM,nan
76,ASTEC,www.astec-corp.co.jp
77,CPT Solution,www.cptsolution.com
78,OOTOYA Thailand,nan
79,Blancco Japan,www.blancco.com
80,CAC Corporation,www.cac.co.jp
81,NTQ Solution,www.ntq-solution.com.vn
82,NTT COMWARE,www.nttcom.co.jp
83,JETRO,www.jetro.go.jp
84,iCore,nan
85,Nikkei Business Publications,www.nikkeibp.com
86,HUTECH University,www.hutech.vn
87,"GRANT, GRIFFITH & JONES",nan
88,B&Company,www.b-company.jp
89,UNISYS,www.unisys.co.jp
90,KOTOBUKI GOLF,www.kotobukigolf.co.jp
91,Donuts Hanoi,nan
92,SETA international,www.seta-international-asia.com.vn
93,KDDI Vietnam,nan
94,TELEHOUSE VIETNAM,www.telehouse.vn
95,SETA international,www.seta-international.co.jp
96,LUXOFT,www.luxoft.com
97,Posts and Telecommunications Institute of Technology,www.ptit.edu.vn
98,NTT EAST,nan
99,AGS,www.ags-vn.com
100,Robust inc,www.robust-inc.com
101,Peak1,www.peak-1.co.jp
102,VietinBank,www.vietinbank.vn
103,MORIS,nan
104,BBS Management Innovation,www.bbs.co.jp
105,FPT Software,www.fpt-software.com
106,AR2 inc,www.ar2.co.jp
107,AMIYA,www.alogsmash.com
108,"Vietnam Japan University, VNU",www.vju.vnu.edu.vn
109,INTEC Vietnam,www.intec-vienam.com
110,PTIT HCM BRANCH,www.ptithcm.edu.vn
111,CBLA,nan
112,CHARACTER DATABANK,www.charabiz.com
113,PricewaterhouseCoopers Vietnam,nan
114,PricewaterhouseCoopers Vietnam,nan
115,ASIA COMMERCIAL BANK,www.acb.com.vn
116,SINWAY,www.sinway.vn
117,Mitsubishi Corporation,nan
118,INNOVATIVE TECHNOLOGY,www.innotech.vn
119,Panasonic R&D Center Vietnam,nan
120,UNISYS,www.unisys.co.jp
121,CMC Telecom,www.cmctelecom.vn
122,UNISYS,www.unisys.co.jp
123,UNISYS,www.unisys.co.jp
124,UNISYS,www.unisys.co.jp
125,CROSS DREAM,www.cross-dream.co.jp
126,CMC Software Solution ,www.cmcsoft.com.vn
127,Ryoden Trading,www.ryoden.co.jp
128,The Ocean Villas,www.theoceanvillas.com.vn
129,The Ocean Villas,www.theoceanvillas.com.vn
130,Monstar Lab,www.monstar-lab.com
131,Rikkeisoft,www.rikkeisoft.com
132,SSG,www.ssg.vn
133,PADECO,www.padeco.jp
134,BIP Systems Corporation Hanoi Representative Office,nan
135,Insideline ,nan
136,USOL VIETNAM,www.usol-v.com.vn
137,Phuong Nam Solutions,www.phuongnamco.net
138,Smythe European,www.Smythe.com
139,JETRO,www.jetro.go.jp
140,JAPAN EXCHANGE GROUP,www.jpx.co.jp
141,SOFITEL,www.sofitel.com
142,Cross Border Planning Corp,www.cb-planning.com
143,TELEHOUSE VIETNAM,www.telehouse.vn
144,CAPLAN Corporation,www.caplan.jp
145,Nikkei Business Publications,www.nikkeibp.com
146,LAIRI TRAVEL ,www.lairitour.com
147,,nan
148,,nan
149,,nan
150,,nan
151,,nan
152,,nan
